Database ID,Proposed date,Site,Field No.,Trench/location,Level/stratigraphy,Square/Locus,MNI,Age,Sex/gender,Disposal area,Burial type,"Construction, container, wrapping",Alignment (orientation),Body position,Vessels (pottery),Vessels (silicious),Vessels (metal),Vessels (stone),Jewellery,Pins,Weapons,Tools,Glyptic,Animal remains,Miscellaneous grave goods,Possible additional grave goods,Other excavator notes,Data source,Data collator notes,Site latitude,Site longitude,lng,lat
HaT2,early Middle Elamite,Haft Tappeh,"M.B. ""mass burial chamber""","""tomb-temple complex""",-,B XIX,23,-,-,"tomb building (northwest corner, parallel to so-called tomb of Tepti-Ahar, database ID HaT1)",tomb,"baked brick tomb (l. 5.20 m, w. 2.65 m, inner room l. 4.80, w. 1.85 m), originally an arched vaulted roof (only preserved to h. 0.30 m), less carefully constructed than the ""Tepti Ahar"" tomb; no constructed entrance, the southern end connecting to Hall no. 2 blocked only by roughly placed baked bricks",14 individuals (side by side): W-E (heads W),"14 individuals (side by side): legs extended, the in situ photograph suggests arms at various degrees of flexion at elbow",1 small conical pottery bowl with a circular flat base,-,-,-,1 simple metal ring,-,-,-,-,-,-,-,"14 individuals placed side by side widthways in the tomb, the first 4 near the entrance (south side) seem to have a particular relation to each other, 9 more individuals dumped over the lower limbs of the first 14; the vaulted roof seems to have been destroyed by the levelling activities of the sugar cane plantation; two sun-dried brick walls separate this tomb and the ""tomb of Tepti Ahar"" (database ID HaT1)","Negahban 1991: 15, 21-22; pl. 7B-8B (in situ photograph)",-,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT3-G,early Middle Elamite (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,E XVII,-,"juvenile (""very young children"")",-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",vessel,"large vessels, in some instances surrounded by a sundried brick wall ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"vessels apparently only large enough to be used for very young ""children"", and only one per vessel",Negahban 1991: 22,database IDs Hat4-5 belong to this group,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT4,early Sukkalmah (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,E XVII,1,juvenile,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",vessel,"in situ photograph shows a side-set broken vessel with a shoulder moulding and possibly ridges below the mouth; its complete form is not visible, but it is possibly similar to a vessel from the early second millennium BCE Building Level I at Haft Tepe (Mofidi-Nasrabadi 2016, fig. 7, H.T. 12-436-17)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Negahban 1991: 22; pl. 19C (in situ photograph),"belongs to group database ID Hat3-G; photograph shows burial in situ beside another vessel burial database ID Hat5 set on its side and probably dating to the early Sukkalmah period, but this one appears to be cut into the wall surrounding the latter and is therefore probably slightly later; placement of the vessel on its side is seen also in several contemporary vessel burials at Susa (Gasche 2000)","32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT5,early Sukkalmah (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,E XVII,1,juvenile,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",vessel,"in situ photograph shows a side-placed vessel with a small foot, shoulder moulding, and incised lines under the lip [cf. vessel with similar shape, moulding and incised lines in Gasche 1973, group 36c, pl. 47.3, Ville Royale B V burial t.164]; vessel surrounded by a sun dried brick wall ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Negahban 1991: 22; pl. 19C (in situ photograph),"belongs to group database ID Hat3-G; date proposed based on burial vessel comparanda from Ville Royale B V at Susa (t.164, not included in this database ID, but similarly placed on its side as were several other contemporary vessel burials from Susa in Gasche 2000), and the closest form published from Haft Tepe is from the early second millennium Building Level I documented by Mofidi-Nasrabadi (2016, fig. 7, H.T. 12-436-17); photograph shows this burial in situ beside vessel burial database ID Hat4, which is probably slightly later as it cuts into the surrounding wall","32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT6-G,early Middle Elamite (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,F XVII,-,-,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",vessel,"overturned large vessels (""inverted over the body"")",-,flexed,-,-,-,-,-,-,-,-,-,-,-,-,one individual per vessel,Negahban 1991: 22,"one of these photographed in situ is described a ""basin"", but is in fact likely an overturned coffin (database ID HaT12)","32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT7-G,early Middle Elamite (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,"E XVII, F XVIII and G XVIII",-,-,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",pit,pits,-,set on one side with legs flexed,in some burials: pottery vessels,-,-,-,-,-,in some burials: metal daggers ,-,-,-,"in some burials: ""other items""",-,-,Negahban 1991: 22,database IDs HaT8-10 belong to this group,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT8,Sukkalmah (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,E XVII,1,-,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",pit,pit,-,"on right side, legs tightly flexed (ca. 10°) at both hips and knees, arms appear to be tightly flexed at elbow",-,-,-,-,-,-,-,-,-,-,-,-,-,"Negahban 1991: 22, pl. 20B (in situ photograph)",one of database ID HaT7-G; date suggested based on the presence of two probably early Sukkalmah juvenile vessel burials (database IDs Hat4-5) in the same square EXVIIl; no grave goods visible in the in situ photograph,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT9,late Sukkalmah/early Middle Elamite,Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,F XVIII,1,-,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",pit,pit,-,"difficult to discern in the in situ photograph, legs appear to be flexed","in situ photograph shows 3 goblets set down together [similar profile cups at Susa, cf. Gasche 1973, group 21b, pl. 22.16, Ville Royale A XIII, 3 and 7, Ville Royale A XII, and 2, Ville Royale A XI]",-,-,-,-,-,-,-,-,-,-,-,-,"Negahban 1991: 22, pl. 21A (in situ photograph)",one of database ID HaT7-G; date suggested based on terracotta vessel comparisons from Susa Ville Royale A XIII-XI,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT10,early Middle Elamite (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,G XVIII,1,-,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness); wall visible beside the burial in the in situ photograph",pit,pit/s (?) ,-,too difficult to discern in the in situ photograph,"in situ photograph shows at least 1 goblet similar to that in database ID HaT9 with comparanda at Susa [cf. Gasche 1973, group 21b, pl. 22.16, Ville Royale A XIII, 3 and 7, Ville Royale A XII, and 2, Ville Royale A XI], the foot of 1 similar vessel and the narrow neck of a (perfume-)bottle with broad, flat lip and probably globular body",-,-,-,-,-,-,-,-,-,-,-,-,"Negahban 1991: 22, pl. 21B (in situ photograph)","one of database ID HaT7-G; the in situ photograph labelled ""an Elamite burial"" shows what appear to be more than one set of human bones, but the number of skulls is not clear; vessel comparisons suggest a similar in date to database ID HaT9 (probably early Middle Elamite)","32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT11,Sukkalmah,Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ","""at the rather considerable depth of nearly 2 m from the surface"" ",D XVII ,1,adult (?),-,west of tomb building,coffin,"clay coffin, Wicks 2024 type 3; Negahban indicated that the ""lid"" had collapsed into the coffin; however, the in situ photograph appears to show the coffin in an overturned position, as it is presently displayed in the Haft Tappeh Museum; bitumen coated, traces of thick palm-fiber rope soaked in bitumen between horizontal mouldings, h. 47 cm, l. 155/132 cm (rim/base), w. 59/55 cm (rim/base)",approximately N-S,legs (and arms?) flexed,-,-,-,-,-,-,-,-,-,-,-,-,-,"Negahban 1991: 22, plan 3, pl. 19a-b (in situ photographs); Wicks 2024, HTN1, plans 16-17 (location marked) ",-,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT12,Sukkalmah (?),Haft Tappeh,-,"""tomb-temple complex, ""west of tomb building ",-,F XVII ,1,-,-,"amongst ""Elamite"" constructions with sundried mudbrick walls of (0.50-2.0 m thickness)",coffin,"overturned clay coffin, possibly Wicks 2024 type 10, minimum 2 horizontal mouldings ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Negahban 1991, pl. 20a; Wicks 2024, HTN2, plans 16-17 (location marked) ",-,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT13,mid-Middle Elamite,Haft Tappeh,Grab 1,"cut 3, in the middle area of Complex C",depth 150 cm; grave pit dug in the ash layer after building was destroyed,Quadrat 3,1,-,-,dug into a ruined building,sherd,"overturned large open vessel (H.T. 05-3-512) covering the body, additional sherds",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"skull well preserved, the rest of the skeleton poorly preserved; no grave goods could be ascertained; the large vessel (fragment) that covered the body probably dates to the Middle Elamite I phase","Mofidi-Nasrabadi 2010: 9-10, 16, 45, plans 3 (location) and 9, Taf 6.1 (vessel sherd), 58.2",-,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT14,mid-Middle Elamite,Haft Tappeh,Grab 2,"cut 4 of the first campaign, in the centre of a small room in a building",depth 140 cm from ground surface,Quadrat 4,1,-,-,dug into a ruined building,vessel (double) (?),"double pot (or possibly sherd) burial: two large open vessels (H.T. 05-4-526, H.T. 05-4-527) had been crushed over time and partly changed their position",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"skull well preserved; burial not completely excavated, no grave goods could be ascertained [but a small bowl in Taf. 13.1 is shown on the plan with this burial]; the burial vessels date to the Middle Elamite I phase","Mofidi-Nasrabadi 2010: 10, 16, 46, plans 3 (location), 6 and 9, Taf. 6.2, 7.1, 13.1 (?), 58.3",-,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT15,early Middle Elamite,Haft Tappeh,Grab 3,Area I,end building level II (Middle Elamite I phase),PQ 14,1,juvenile (6 months) ,-,"behind NW wall of Rm 1, in ruins of monumental ""administration"" building",vessel (double),"upright-set large open vessel H.T. 07-14-23), some preserved sherds of a vessel above used as a cover (H.T. 07-14-29)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,no grave goods found,"Mofidi-Nasrabadi 2010: 46, pl. 12.1, Taf. 37.1, 65.1; 2012: Tab. 1",building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT16,early Middle Elamite,Haft Tappeh,Grab 4,Area I,end building level II (Middle Elamite I phase),PQ 14,1,adult (16-17 years),female,"in debris of Room 2, in ruins of monumental ""administration"" building",vessel (double),"two large vessels, openings together (bottom: H.T.07-14-22, top: H.T. 07-14-18) and skeletal remains inside, some sherds next to the top vessel (to strengthen the cover?) (H.T. 07-14-30)",-,-,inside large lower vessel: 1 small round bottle (H.T. 07-14-35),-,-,-,inside large lower vessel: 1 small blue glazed paste bead (H.T. 07-14-34),-,-,-,-,-,-,-,-,"Mofidi-Nasrabadi 2010: 46, pl. 12.1, Taf. 37.2-3, 68.2; 2012: Tab. 1",building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT17,early Middle Elamite,Haft Tappeh,Grab 5,Area I,end building level II (Middle Elamite I phase),PQ 15,1,juvenile (3-3.5 years) ,-,"in debris of Room 2, in ruins of monumental ""administration"" building",vessel (double),"two large bowls with holes, openings together (bottom: H.T. 07-15-37, top: H.T. 07-15-52), some fragments were used to improve the cover (H.T. 07-15-50)",-,-,"outside burial containers: 1 knobbed beaker (H.T. 07-15-41), 1 small round bottle (H.T. 07-15-42)",-,-,-,"inside burial containers: 2 copper/bronze bracelets (H.T. 07-15-63, H.T. 07-15-64), 2 copper/bronze earrings (H.T. 07-15-65, H.T. 07-15-66)",-,-,-,-,-,-,-,knobbed beaker and bottles described as being for offerings,"Mofidi-Nasrabadi 2010: 46, pl. 12.1, Taf. 38, 68.3, 69.1; 2012: Tab. 1",unclear if the use of the two vessels for offerings is an assumption or remains were found; building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT18,early Middle Elamite,Haft Tappeh,Grab 6,Area I,end building level II (Middle Elamite I phase),PQ 15,1,juvenile (under 10 years),-,"in debris of Room 2, in ruins of monumental ""administration"" building",vessel (double),"two large bowls placed together upright with the openings together, skeletal remains inside (bottom: H.T. 07-15-53, top: H.T. 07-15-16)",-,-,outside burial containers: 1 knobbed beaker (H.T. 07-15-20),-,-,-,-,-,-,-,-,-,-,-,knobbed beaker described as being for offerings,"Mofidi-Nasrabadi 2010: 46, pl. 12.1, Taf. 37.4, 68.3-4, 69.1; 2012: Tab. 1 ",unclear if the use of the beaker for offerings is an assumption or remains were found; building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT19,early Middle Elamite,Haft Tappeh,Grab 7,Area I,end building level II (Middle Elamite I phase),PQ 15,1,juvenile (2-3 years),-,"in debris of Room 2, in ruins of monumental ""administration"" building",vessel (double),"two large bowls placed together upright with the openings together, skeletal remains inside (top: H.T. 07-15-54, bottom: H.T. 07-15-18)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,no grave goods,"Mofidi-Nasrabadi 2010: 46-47, pl. 12.1, Taf. 40.1, 68.3-4, 69.1; 2012: Tab. 1",building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT20,early Middle Elamite,Haft Tappeh,Grab 8,Area I,end building level II (Middle Elamite I phase),PQ 15,1,juvenile (2-2.5 years),-,"in debris of Room 2, in ruins of monumental ""administration"" building",vessel (double),"two large bowls placed together upright with the openings together, skeletal remains inside (bottom: H.T. 07-15-34, top: H.T. 07-15-19)",-,-,"outside burial containers, perhaps associated with burial: part of a knobbed beaker and small round bottle",-,-,-,inside burial containers: 1 copper/bronze bracelet (H.T. 07-15-72),-,-,-,-,-,-,-,-,"Mofidi-Nasrabadi 2010: 47, pl. 12.1, Taf. 39.1-2, 68.1,3, 69.1; 2012: Tab. 1",building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT21,early Middle Elamite,Haft Tappeh,Grab 9,Area I,end building level II (Middle Elamite I phase),PQ 15,1,juvenile (?),-,"in debris of Room 2, in ruins of monumental ""administration"" building",vessel (double),"two large bowls placed together upright with the openings together, skeletal remains inside (bottom: H.T. 07-15-55, top: H.T. 07-15-27)",-,-,-,-,-,-,"inside burial containers: 2 copper/bronze bracelets (H.T. 07-15-69, H.T. 07-15-70)",-,-,-,-,-,-,-,-,"Mofidi-Nasrabadi 2010: 47, pl. 12.1, Taf. 39.3-4, 40.2, 68.3, 69.1; 2012: Tab. 1",building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT22,early Middle Elamite,Haft Tappeh,Grab 10,Area I,end building level II (Middle Elamite I phase),PQ 15,1 (possibly 2 if reused),adult,female,"in debris of Room 2, in ruins of monumental ""administration"" building",coffin,"clay coffin with a cover, both broken into several pieces by the pressure of the earth above (H.T. 07-15-63), gypsum used to secure the lid to the coffin","NW-SE (head NW), face directed to SW","flexed, placed on right side",-,-,-,-,at waist level: 1 gold earring (H.T. 07-15-62),-,-,-,-,-,-,-,it is possible that the coffin was used twice because some of the teeth in it were larger and presumably belong to a second person. ,"Mofidi-Nasrabadi 2010: 47, pl. 12.1, Taf. 68.5, 72.1-2; 2012: Tab. 1",building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
HaT23,early Middle Elamite,Haft Tappeh,Grab 11,Area I,end building level II (Middle Elamite I phase),PQ 30,1,-,-,in the debris above the northwest wall of Room 11,pit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,only the remains of a skull were found under the floor surface,"Mofidi-Nasrabadi 2010: 47, pl. 12.2, Taf. 66.2",building level date follows Mofidi-Nasrabadi 2016,"32° 4'50.04""N","48°19'41.10""E",32.0805666666667,48.3280833333333
